Principal Commodity,Country,Unit,Quantity 2011-12,Value (INR) 2011-12,Quantity 2012-13*,Value (INR) 2012-13*
TEA,AFGHANISTAN TIS,KGS,641058,80823418,766551,92563418
TEA,ALGERIA,KGS,352422,40456878,35000,4028062
TEA,ANGOLA,KGS,11511,1638109,11,2450
TEA,ARGENTINA,KGS,30,5536,1607,813210
TEA,ARMENIA,KGS,6970,1193148,4356,1290414
TEA,AUSTRALIA,KGS,8098795,1380635578,6893610,1350245869
TEA,AUSTRIA,KGS,512,415901,2131,1197676
TEA,AZERBAIJAN,KGS,27859,9925743,392524,51912612
TEA,BAHARAIN IS,KGS,449356,79092869,277428,59076016
TEA,BANGLADESH PR,KGS,2075949,140799298,2769702,264846058
TEA,BELIZE,KGS,0,0,48,7569
TEA,BELGIUM,KGS,273257,32834306,569332,70625213
TEA,BENIN,KGS,164569,34214282,157689,33559920
TEA,BOTSWANA,KGS,1068,203439,3104,129971
TEA,BRAZIL,KGS,7091,2807430,1560,1052928
TEA,BRUNEI,KGS,13541,2823549,108,41026
TEA,BULGARIA,KGS,210,44540,509,80570
TEA,BURKINA FASO,KGS,10997,1522431,11870,1598767
TEA,BELARUS,KGS,31136,5677986,33886,11602971
TEA,CAMBODIA,KGS,90,27262,0,0
TEA,CAMEROON,KGS,37500,3557502,0,0
TEA,CANADA,KGS,2281892,401173076,1669201,334670697
TEA,CAYMAN IS,KGS,40,15586,495,224496
TEA,CHAD,KGS,0,0,31,184887
TEA,CHILE,KGS,24586,4804969,10350,2672427
TEA,TAIWAN,KGS,531843,93814933,543063,120752468
TEA,CHINA P RP,KGS,3891875,668072806,4190678,771100875
TEA,COLOMBIA,KGS,72602,14637442,11,2450
TEA,CONGO P REP,KGS,147621,14330236,106899,14075051
TEA,COSTA RICA,KGS,504,50563,75,8100
TEA,CROATIA,KGS,84,61444,2431,172066
TEA,CUBA,KGS,0,0,2,1320
TEA,CYPRUS,KGS,7779,1918265,8349,2929258
TEA,CZECH REPUBLIC,KGS,14950,6568176,35136,9530528
TEA,DENMARK,KGS,13109,8034925,18358,11560175
